Frequency	|LSSnm(PORT_3,PORT_1,1_-2_0,1_0_0)|	Ang(LSSnm(PORT_3,PORT_1,1_-2_0,1_0_0)) (Deg)	
(GHz)	Receiver_Prototype_Digital	Receiver_Prototype_Digital	
67.2	0.14039	102.03
68.2	0.12623	118.15
69.2	0.11302	106
70.2	0.12109	62.927
71.2	0.13809	37.505
72.2	0.1712	-27.534
73.2	0.17761	-76.841
74.2	0.16887	-139.11
75.2	0.15727	151.09
76.2	0.15774	71.815
77.2	0.16028	13.489
78.2	0.15959	-54.351
79.2	0.14508	-129.49
80.2	0.13542	136.5
81.2	0.16873	62.136
82.2	0.16098	-9.8361
83.2	0.16858	-94.933
84.2	0.17896	-164.77
85.2	0.17116	132.46
86.2	0.16813	66.436
87.2	0.16349	5.9158
88.2	0.15511	-52.928
89.2	0.1438	-102.41
90.2	0.14742	-135.41
91.2	0.14165	-108.71
